hospital,autor_id,review_text,review_rating,review_datetime_utc,review_likes,review_text_processed
Fort Sanders,106188060642797429701,"I contacted Ft Sanders and was sent to their medical records department for a copy of my medical birth records. This is NOT my birth certificate I requested.
I submitted the required form. On it I detailed my mother's maiden name, my date and time of birth as well as the Doctor who delivered me.I explained time was of the essence. 6 week later I am sent the form back wanting the VERY INFORMATION on the one page form itself.
I contacted administration who deliberately refused to even allow me to speak. I was belittled. I finally had to state, Did I need to hire a lawyer just to get my medical records. She told me that I would have to do just that and hung up.
Completely incompetence and I am sorry for anyone who has to deal with them I am thinking of doing that. Legally in the US you are entitled to your records when you request them.
Totally breaking Federal Laws.",bad,05/27/2020 19:15:16,2,contacted ft sent record department copy birth record birth certificate requested submitted required form detailed mother maiden name date time birth well doctor delivered mei explained time essence 6 week later sent form back wanting information one page form contacted administration deliberately refused even allow speak belittled finally state need hire lawyer get record told would hung completely incompetence sorry anyone deal thinking legally u entitled record request totally breaking federal law
Fort Sanders,102940982820188441695,Very helpful and hard workers who care deeply about there patient's may God bless them all,good,09/01/2020 21:58:46,0,helpful hard worker care deeply patient may god bless
Fort Sanders,115256782196432535654,"Asked to be here for surgery at 9:30. Noon and surgery has not even begun yet. Apparently, they don't believe their patients' time is valuable at all. I understand prep and all that takes time, but this is ridiculous.",bad,09/15/2020 16:05:43,2,asked surgery 930 noon surgery even begun yet apparently dont believe patient time valuable understand prep take time ridiculous
Fort Sanders,117111622667140741677,"I went in to have my baby & Dr.Martin was absolutely fantastic. She delivered all 4 of my children. She is very kind, understanding & extremely thorough on everything I needed to have done. The Labor & Delivery team were excellent & catered to my every need & answered every question or concern I had. Once my baby was delivered & I moved rooms, the nurses on the other side of labor & delivery were fantastic as well & helped me out in every way possible. I highly recommend Dr.Martin & her team of nurses & the nurses on the labor & delivery floor. ALL nurses worked together, even when times got busy, & I never had to wait for anything. If you're looking for a wonderful Doctor & place to have your baby, Fort Sanders Labor & Delivery is a great choice.",good,11/08/2019 20:38:37,3,went baby drmartin absolutely fantastic delivered 4 child kind understanding extremely thorough everything needed done labor delivery team excellent catered every need answered every question concern baby delivered moved room nurse side labor delivery fantastic well helped every way possible highly recommend drmartin team nurse nurse labor delivery floor nurse worked together even time got busy never wait anything youre looking wonderful doctor place baby labor delivery great choice
Fort Sanders,113371088870280147306,"I would HIGHLY RECOMMEND this hospital! They have some pretty amazing people there. One of my nurses RN Laurie Sommers when I think of her, it will be with nothing but love and respect in my heart, she is an amazing person, and RN. And my night RN Savannah. They  got me through a very hard week and i will always remember it. They have a wonderful staff of people working for them! The 3rd floor rocks!!!",good,01/06/2020 18:45:28,2,would highly recommend pretty amazing people one nurse rn laurie sommers think nothing love respect heart amazing person rn night rn savannah got hard week always remember wonderful staff people working 3rd floor rock
Fort Sanders,114113715219677701312,Wonderful drs and a great place to have a child. But after having a child the nurses are very rude. I was threatened and assaulted multiple times. I'm being told I'll be escorted off the property for questioning any policy,bad,05/30/2020 16:53:07,3,wonderful drs great place child child nurse rude threatened assaulted multiple time im told ill escorted property questioning policy
Fort Sanders,102276738228264891779,"I was traveling with my husband and came to the ER the staff was quite nice. Due to my circumstance I was admitted on the third floor. From the moment I was assigned a room my RN  Michele (day shift ) was so very nice , professional , extremely caring and friendly. I had a night RN named Tim he was nice , caring showed concern as well. My room was pleasant. I truly want to thank the entire staff. They took very good care of me. 💛Thank you again. I’d also like to say thank you to my RN name Ainsley and CNA Carrie for the care and concern. Fantastic staff",good,12/09/2019 16:50:34,0,traveling husband came er staff quite nice due circumstance admitted third floor moment assigned room rn michele day shift nice professional extremely caring friendly night rn named tim nice caring showed concern well room pleasant truly want thank entire staff took good care thank id also like say thank rn name ainsley cna carrie care concern fantastic staff
Fort Sanders,117700429824244056356,"Took over 2 hours to see me with an empty waiting room, when I finally got back I heard a nurse tell a doctor they let us ""Bunch up"" before we got back. Had several tests ran and was left to wait for several hours until I just left. Was advised I would be contacted back with my results 24 hours later and it's been several days. Any time I call I get passed around from person to person, ending up at the ER nurses desk, who had hung up on me FOUR TIMES and have put me on hold for over an hour with no answer. This is the WORST hospital I have EVER been to and it should NOT BE ALLOWED to be ran this way.",bad,07/26/2020 19:29:33,6,took 2 hour see empty waiting room finally got back heard nurse tell doctor let u bunch got back several test ran left wait several hour left advised would contacted back result 24 hour later several day time call get passed around person person ending er nurse desk hung four time put hold hour answer worst ever allowed ran way
Fort Sanders,113283363876376372393,"Came to the ER for pain under rib cage. Pain was at an 8.5 when we got here. We waited 2 hours for triage. We’ve been here for 3 hours and nothing has happened. No one is getting a room. Meanwhile, the check in attendants have been talking about patients loudly. Everyone has had a generally grumpy attitude. Never coming back. I plan to go somewhere that will actually treat patients.",bad,12/15/2019 13:34:35,7,came er pain rib cage pain 85 got waited 2 hour triage weve 3 hour nothing happened one getting room meanwhile check attendant talking patient loudly everyone generally grumpy attitude never coming back plan go somewhere actually treat patient
Fort Sanders,111305106874915854523,"Family member had to be brought here in an ambulance. Medical staff seemed kind and knowledgeable. The accounting department, however, was completely clueless, unorganized and completely unhelpful. We paid for the ambulance ride and our stay, with insurance, out of pocket in a couple months time. We then get bills from collection agencies and calls from the hospital that we have not paid because their brainless workers wouldn’t send us an itemized list and confirmation that we paid. This brought about ten or so calls with our insurance and the hospital trying to get everything settled and was immensely more complicated that it should’ve been because they are unorganized and inefficient. If you have an option, never come here - or enjoy your next year or so of hassle with clueless fools who have no ability to communicate.",bad,02/07/2020 18:09:50,6,family member brought ambulance staff seemed kind knowledgeable accounting department however completely clueless unorganized completely unhelpful paid ambulance ride stay insurance pocket couple month time get bill collection agency call paid brainless worker wouldnt send u itemized list confirmation paid brought ten call insurance trying get everything settled immensely complicated shouldve unorganized inefficient option never come enjoy next year hassle clueless fool ability communicate
Fort Sanders,103447589181451214016,"I spent the day waiting for my friend to be released after out patient surgery. This was the friendliest hospital I've had experience with. They are very accommodating, even giving me a pager so I didn't have to sit in the waiting room. Most hospital gift shops are over priced with so so merchandise. Not this one. I picked up three sweaters that were on sale, paying half for the same quality I would have in a department store. The area is nice enough to get out and, walk in. There is a Panera Bread, Mellow Mushroom and, a few dining options. I wish I had known that before eating in the cafeteria. But, the cafeteria was actually better than I would have expected at a hospital. The parking was easy, right across the street and, only $2.00 for the entire day. On the down side, I was called into a room to talk with the doctor after my friend's surgery. The doctor didn't show and, I was told that he went straight into a another surgery. As I am writing this, my friend and, I still don't know what they found when they went in and, if they were able to simply drain a cyst or, had to remove something, as they thought they might. We were told to just call in the morning. The nurses were disappointed the doctor didn't talk with me and, said it is rare. Perhaps, his procedures were running over in time and, he had to skip the usual post op talk with the contact person? Who knows. But, I'm still a fan of this hospital. Nice neighborhood, cheap and, easy parking, friendly staff.",good,10/09/2019 10:04:54,1,spent day waiting friend released patient surgery friendliest ive experience accommodating even giving pager didnt sit waiting room gift shop priced merchandise one picked three sweater sale paying half quality would department store area nice enough get walk panera bread mellow mushroom dining option wish known eating cafeteria cafeteria actually better would expected parking easy right across street 200 entire day side called room talk doctor friend surgery doctor didnt show told went straight another surgery writing friend still dont know found went able simply drain cyst remove something thought might told call morning nurse disappointed doctor didnt talk said rare perhaps procedure running time skip usual post op talk contact person know im still fan nice neighborhood cheap easy parking friendly staff
Fort Sanders,100508784679372079427,"I was in Emergency, CoronaryCare then Transitional Care with Phys. Therp. Without exception - superior treatment from everyone. The nurses were exceptional. The staff doctors were informed, took time for questions. Warm, gentle, concerned care from everyone.",good,02/26/2020 20:19:26,1,emergency coronarycare transitional care phys therp without exception superior treatment everyone nurse exceptional staff doctor informed took time question warm gentle concerned care everyone
Fort Sanders,106634114740506807447,"I have delivered all six of my children at Fort Sanders. The labor and delivery floor is swarming with some of the best nurses, doctors, maintenance people, receptionists, etc. The OBGYN office is filled with the same kind of people, just amazingly sweet, hardworking and caring people. Ninety-nine percent of the people who work on that floor are so amazing, I cannot imagine ever going to another hospital.",good,02/05/2020 02:51:48,2,delivered six child labor delivery floor swarming best nurse doctor maintenance people receptionist etc obgyn office filled kind people amazingly sweet hardworking caring people ninetynine percent people work floor amazing cannot imagine ever going another
Fort Sanders,116057037347623400313,Ok been here since in the ER since 12:30 and still no one has called for us... now its 400 pm... didn't have any nurses here that were on call... even though they told us it would be a while 3 and half hrs later is not acceptable... i asked how much longer and there was no defentative answer...,bad,06/28/2020 20:01:44,3,ok since er since 1230 still one called u 400 pm didnt nurse call even though told u would 3 half hr later acceptable asked much longer defentative answer
Fort Sanders,111067360366962317873,"I show up to er with chest pains and shortness of breath. I explained that I had had a heart attack about a year ago. They send me out to the waiting room and start calling people that came in after me that had the flu. Just for the record, when somebody with a previous heart attack comes in with chest pains and shortness of breath, you get them in IMMEDIATELY, not let them sit in the waiting room to have another heart attack. This hospital used to be the best in Knoxville...Not any more. The women at front desk were rude, especially Chloe! I'll never be back.",bad,02/23/2020 03:37:14,5,show er chest pain shortness breath explained heart attack year ago send waiting room start calling people came flu record somebody previous heart attack come chest pain shortness breath get immediately let sit waiting room another heart attack used best knoxvillenot woman front desk rude especially chloe ill never back
Fort Sanders,111251059624762396765,I had a stroke never saw a neurologist. I have a blood clot never saw a vascular surgeon. I was yelled at by doc and nurse in er while trying to decide on the treatment  The administration will not call back. was trans to them a second time and left after 36 hours and not seeing a single doctor,bad,07/16/2020 13:48:25,2,stroke never saw neurologist blood clot never saw vascular surgeon yelled doc nurse er trying decide treatment administration call back trans second time left 36 hour seeing single doctor
Fort Sanders,116856857478426764943,"I am from out of town. Went to ER due to injury while in Knoxville. I am a RN, so am familiar with how hospitals SHOULD work but was very disappointed in this ER.  The X-ray dept and US dept were fine but ER staff VERY rude and waiting time unacceptable. I finally walked out without being seen. I left a message for ER Manager requesting callback to discuss but she never bothered to respond. And when I tried to contact next level as result (Director of Nursing) I was put right back into the ER Managers voice mail. I guess State & Joint Commission is only option.",bad,12/19/2019 23:15:53,3,town went er due injury knoxville rn familiar work disappointed er xray dept u dept fine er staff rude waiting time unacceptable finally walked without seen left message er manager requesting callback discus never bothered respond tried contact next level result director nursing put right back er manager voice mail guess state joint commission option
Fort Sanders,101154742373198599229,I have never waited 8 hours for blood test. This is absolutely insane. I will never come here again. I wouldn’t even bring my dog here. Nurse very unprofessional. Must be nice to stand around and laugh at  patients. Sham on them.,bad,09/13/2019 18:51:59,3,never waited 8 hour blood test absolutely insane never come wouldnt even bring dog nurse unprofessional must nice stand around laugh patient sham
Fort Sanders,101399329031396976088,They are good hospital or I go UT hospital them the only two I go to,good,05/26/2020 19:52:09,1,good go ut two go
Fort Sanders,112461697374508715824,"I got choppered down there having a stroke the other day, unable to speak a word.  Dr. Hixson is some kind of whiz kid with the clot remover machine.  He had me talking again while I was still on the operating table. ""My God, that hurts.  Wait a minute...  Am I talking?""  Dr. Hadji from neurology is a genius.
The nurses and assistants were all very smart and very kind and attentive.  The food was quite good, and the rooms were nice and comfortable.  All in all I got the feeling that everyone at Fort Sanders gives a damn, which is more than can be said for some other places I could name.

If ever I have some other emergency and have a choice of where to go, it'll be Fort Sanders.",good,11/20/2019 02:50:52,4,got choppered stroke day unable speak word dr hixson kind whiz kid clot remover machine talking still operating table god hurt wait minute talking dr hadji neurology genius nurse assistant smart kind attentive food quite good room nice comfortable got feeling everyone give damn said place could name ever emergency choice go itll
Fort Sanders,100381676206200895358,"A completely disfunctioning accounting. You should call insurance company by yourself as they don't bill insurance companies. I provided my insurance information at the time of service, but their bill said I didn't request them to bill insurance company and informed me of placing my bill to a  collection agency. And they don't know current practices in insurance bill processing. I have one card for the member and dependents under the same member ID. But, the account service personnel, Jeniffer Sox, did not believe it. So, my insurance company tried to call her directly.  Do your best to use other respectful hospitals.",bad,01/17/2020 22:32:20,3,completely disfunctioning accounting call insurance company dont bill insurance company provided insurance information time service bill said didnt request bill insurance company informed placing bill collection agency dont know current practice insurance bill processing one card member dependent member id account service personnel jeniffer sox believe insurance company tried call directly best use respectful
Fort Sanders,117231783793474662979,"I was turned over to Fort Sanders Perinatal for high risk pregnancy. I was seen accordingly and treated in a timely manner. The staff and healthcare team made sure my needs are met and I was able to deliver my baby via emergency C section. Nurses were amazing and professional with good bedside manners, compassionate, too. I had overall a good experience. I am thankful for the safe delivery of my baby and that I am here to say that they took care of me and made my first pregnancy a wholesome experience.",good,06/23/2019 20:58:18,3,turned perinatal high risk pregnancy seen accordingly treated timely manner staff healthcare team made sure need met able deliver baby via emergency c section nurse amazing professional good bedside manner compassionate overall good experience thankful safe delivery baby say took care made first pregnancy wholesome experience
Fort Sanders,106288580376713603183,"I had a total shoulder at ft sanders 3 weeks ago. It was a very positive experience! All staff were very good! The floor nurses and assistants were wonderful! I didnt even have to ask for anything they anticipated my needs
Rachel  Cross",good,06/21/2019 16:33:30,1,total shoulder ft 3 week ago positive experience staff good floor nurse assistant wonderful didnt even ask anything anticipated need rachel cross
Fort Sanders,113504098655131863830,"Hello, my name is Brahim Mujoli,  My wife Shqipe Mujoli  She had  a high risk Pregnancy  She spent almost a month at the hospital and we feel like we are home I recommend anyone to see Dr. Steven Andrade and Dr. Perry Roussis  and all there staff  They are amazing Thanks to them now we have a baby boy Harun",good,02/09/2020 03:27:23,3,hello name brahim mujoli wife shqipe mujoli high risk pregnancy spent almost month feel like home recommend anyone see dr steven andrade dr perry roussis staff amazing thanks baby boy harun
Fort Sanders,106360285067322039589,I was treated well as a patient there.,good,11/13/2020 03:27:07,0,treated well patient
Fort Sanders,105192282551402931898,"If you are pregnant and having contractions, DO NOT GO TO FORT SANDERS ER!  I have never been so angry in all of my life. My husband and I went there the other day and followed the directions to go to ER PARKING. Well the young man with glasses in the booth wouldn't allow us in! He said that we couldn't park there in the Emergency room parking lot, only drop people off, and we would have to find somewhere else to park. I couldn't even lift my leg because of the pain I was having in order to get in and out of the car, and this skinny bratt told us that we would have to park somewhere else and walk. Here's a tip Fort Sanders, hire people with manners, and fire the ones like that idiot in the booth. And if you are going to put up signs for EMERGENCY DEPARTMENT PARKING, let people park, it's an EMERGENCY for heaven sake. Needless to say we went to nearby UT Hospital Emergency Room and had no problems. I delivered my baby boy who was 4 weeks early, and everything is going better. But don't go to Fort Sanders Regional, if you have an emergency, it will make you cry. Go to UT Hospital instead they know what they are doing.",bad,03/29/2019 11:31:33,10,pregnant contraction go er never angry life husband went day followed direction go er parking well young man glass booth wouldnt allow u said couldnt park emergency room parking lot drop people would find somewhere else park couldnt even lift leg pain order get car skinny bratt told u would park somewhere else walk tip hire people manner fire one like idiot booth going put sign emergency department parking let people park emergency heaven sake needle say went nearby ut emergency room problem delivered baby boy 4 week early everything going better dont go emergency make cry go ut instead know
Fort Sanders,118128136143195559325,My husband has cancer.He had to be in the ft Sanders regional medical center. He was on the third floor. We had a really good nurse. Chester went above and beyond for my husband and that mean a lot to us.Thank you so very much for the great care the my husband has got.,good,06/30/2019 14:40:48,2,husband cancerhe ft third floor really good nurse chester went beyond husband mean lot usthank much great care husband got
Fort Sanders,116147996735916662598,They are the absolute worst hospital!!! When they tried to get blood I was stuck over 20 times! When I asked for someone to get an  anesthesiologist to do it I was dismissed and they got another nurse who missed and ended up giving up and I was told the test weren’t necessary anyway! My arms and hands are so sore and bruised up. I only saw the the doctor a total of 5mins for the 3 days I was there and he acted as if I was not important. They were not able to give me a reason as to why I keep passing out and I was discharged no better off then when I went in!,bad,11/23/2019 20:20:40,6,absolute worst tried get blood stuck 20 time asked someone get anesthesiologist dismissed got another nurse missed ended giving told test werent necessary anyway arm hand sore bruised saw doctor total 5mins 3 day acted important able give reason keep passing discharged better went
Fort Sanders,109081027499014493234,"One of the better medical centers in the Knoxville area.  All types of medical care are available.  Facilities and grounds are handicapped accessible.  The food is very appetizing and pre pared very well.  All medical staff, nurses, doctors, technicians office personnel are rea l professionals and courteous.  This facility comes very acceptable and prices are reasonable.",good,05/13/2019 18:01:19,0,one better knoxville area type care available facility ground handicapped accessible food appetizing pre pared well staff nurse doctor technician office personnel rea l professional courteous facility come acceptable price reasonable
Fort Sanders,111435231615492393375,"I am alive because the awesome medical professionals at Ft Sanders Regional. From Colon Surgery to Brain Tumor, the have been second to none. I have witnessed friends and family going to other facilities and there is no comparison. Last night, as before, they treated me like royalty. They didn't stop running tests until the found what was wrong. I was seen by a doctor - as in MD. My wife went to another provider (I won't mention the name) with chest pain and they didn't even have a Doctor on duty. Regardless, I will Never go anywhere else. Doctors by far are the best! Nurses, Dennis, Jeremy and a couple others (I didn't get their names) should be lead nurses. The folks conducting all the test CT, Nuclear Scan, and Xray were the BEST! All in all I am ever so thankful. I have been back twice since my initial review. Same results of going above and beyond. They truly care about people.",good,11/12/2019 18:33:50,2,alive awesome professional ft colon surgery brain tumor second none witnessed friend family going facility comparison last night treated like royalty didnt stop running test found wrong seen doctor md wife went another provider wont mention name chest pain didnt even doctor duty regardless never go anywhere else doctor far best nurse dennis jeremy couple others didnt get name lead nurse folk conducting test ct nuclear scan xray best ever thankful back twice since initial review result going beyond truly care people
Fort Sanders,117073127102568888172,If you have a loved one here the security treats you like trash and leaves you waiting to see people who are potentially dying in ICU. This place is a joke.,bad,01/21/2020 03:47:52,3,loved one security treat like trash leaf waiting see people potentially dying icu place joke
Fort Sanders,107963151958254984899,"I had an emergency surgery at Fort Sanders, and the staff were exquisite. Everyone was very kind and waited on me hand and foot. My over all experience for my first surgery was full of compassion and amazing care by the staff.",good,05/31/2019 00:03:17,1,emergency surgery staff exquisite everyone kind waited hand foot experience first surgery full compassion amazing care staff
Fort Sanders,109751522665347038564,"I just went to the cafeteria and it was one of the dirtiest public eating areas I’ve ever seen!   All of the tables were dirty with food spilled on them and it was 3:00 pm.   It’s not like it was prime lunchtime. Staff were sitting at a table watching TV oblivious to the pigsty around them. Seriously?  The guy working the grill was quite rude as well. Also saw a worker come out of the back kitchen, which is to the right of grill, with no food service gloves on with a piece of frozen chicken breast in his hand that he dropped in deep fryer. He tried to hide it but I saw him. I would fire everyone of the staff working there, especially the manager who pretends to run the place. Disgusting. Why don’t you go to UT Medical Center and see how their cafeteria is managed how clean it stays.",bad,12/28/2018 20:55:17,10,went cafeteria one dirtiest public eating area ive ever seen table dirty food spilled 300 pm like prime lunchtime staff sitting table watching tv oblivious pigsty around seriously guy working grill quite rude well also saw worker come back kitchen right grill food service glove piece frozen chicken breast hand dropped deep fryer tried hide saw would fire everyone staff working especially manager pretend run place disgusting dont go ut see cafeteria managed clean stay
Fort Sanders,107299744483610365184,Worst experience in my life. 7th floor is atrocious,bad,12/28/2019 04:50:01,4,worst experience life 7th floor atrocious
Fort Sanders,109906074647360462162,Highly recommend,good,10/23/2020 18:09:30,0,highly recommend
Fort Sanders,109710667801158173749,"I have been in waiting room for 5 hrs and not even been called back, people who has came in after me have been called back before me. This is the worst hospital ever they should of never closed st. Marys",bad,10/16/2019 22:00:45,4,waiting room 5 hr even called back people came called back worst ever never closed st mary
Fort Sanders,113255790147440048520,"Never go here in the event of an emergency. They dont give a flying about anyone, but want the money all day. Sitting 4 hours in emergency.",bad,01/03/2020 19:27:36,2,never go event emergency dont give flying anyone want money day sitting 4 hour emergency
Fort Sanders,101535649932833900469,I can’t describe them! They save lives everyday! BEST STROKE CENTER In Tennessee! Got us back quick when my grandfather had a trouble time speaking and couldn’t find the words to talk. They got him back for a CT scan within 10 mins!,good,12/02/2018 01:20:55,1,cant describe save life everyday best stroke tennessee got u back quick grandfather trouble time speaking couldnt find word talk got back ct scan within 10 min
Fort Sanders,106448155562084944710,I was in and out of hospital last year. And the nurses were awesome. They really took very good care of me. And also the doctors. Thank you.,good,03/23/2019 03:59:32,0,last year nurse awesome really took good care also doctor thank
Fort Sanders,104139758958394772782,"This is the worst experience with this hospital their staff, their physicians , very unprofessional, if u are not insured u don't need to go to this facility,  they turned young girl away that was in kidney failure, because she couldn't pay the ridiculous amount of money they needed upfront, something needs to be done about this place, disturbing 🤔🤔",bad,02/04/2020 19:52:22,2,worst experience staff physician unprofessional u insured u dont need go facility turned young girl away kidney failure couldnt pay ridiculous amount money needed upfront something need done place disturbing
Fort Sanders,103218624575582784987,Great Hospital.  Been patient and employee. Like both.,good,07/24/2019 16:01:19,0,great patient employee like
Fort Sanders,114552363792007910962,"My father had a stroke and we brought him here to the ER. He was eventually admitted. We were told by the internist that he had a series of acute strokes within the last few hours and that it was important that he have a heart echocardiogram immediately since the clots may be coming from his heart or one of his stents. That was Saturday night. It is now Wednesday morning and dad has still not had the echo due to it being Memorial Day weekend and because of being understaffed they haven’t been able to schedule it yet. Two days ago they started giving him heparin injections just to be safe, and one bag is simple saline since he hasn’t urinated. Not having the ability to have the echo and be properly diagnosed is disconcerting to say the least. He still cannot stand on his own due to his paralysis, yet they are now saying that he will be moved to a rehab facility today, but they will try to get the heart echo worked in before he leaves. We should have taken him to a hospital that diagnoses and treats strokes as if they are serious events.",bad,05/29/2019 10:19:34,4,father stroke brought er eventually admitted told internist series acute stroke within last hour important heart echocardiogram immediately since clot may coming heart one stent saturday night wednesday morning dad still echo due memorial day weekend understaffed havent able schedule yet two day ago started giving heparin injection safe one bag simple saline since hasnt urinated ability echo properly diagnosed disconcerting say least still cannot stand due paralysis yet saying moved rehab facility today try get heart echo worked leaf taken diagnosis treat stroke serious event
Fort Sanders,108159678285564214322,Been waiting for hour for my wife to just be triaged. She has a 104 degree fever and just had surgery less than a week ago. This is sad.(This rating is for the ER),bad,09/13/2019 22:35:38,3,waiting hour wife triaged 104 degree fever surgery le week ago sadthis rating er
Fort Sanders,111215025487559204365,This construction at Fort Sanders is awful. If you are visiting someone you have to walk miles to even get out. Worse of all if it is after 9pm you have to go through the disease invested ER. For someone with health issues it is a struggle. And the heat inside hospital is almost inbearable. It's so hot you can see the germs growing.,bad,05/23/2019 01:52:07,2,construction awful visiting someone walk mile even get worse 9pm go disease invested er someone health issue struggle heat inside almost inbearable hot see germ growing
Fort Sanders,111926137666809728306,Treat you like you're ignorant. Don't do what they need to do to help. Doctors are idiot. Left the ER same shape as when I came in,bad,03/10/2019 10:36:39,4,treat like youre ignorant dont need help doctor idiot left er shape came
Fort Sanders,116240935497891371662,The staff was the nicest I've ever see,good,09/04/2019 15:12:50,0,staff nicest ive ever see
Fort Sanders,106917600024973893142,"I have had  two major surgeries at this hospital, and the staff were incredible both times! They are knowledgeable, kind, understanding, and highly skilled. I am so thankful at my improved quality of life that has resulted from the excellence provided by Fort Sanders Regional. God bless all of you.",good,04/26/2017 12:19:47,1,two major surgery staff incredible time knowledgeable kind understanding highly skilled thankful improved quality life resulted excellence provided god bless
Fort Sanders,102304894679376734382,"I have been a patient here many, many times.  Always good experiences.  I think this is the best hospital in Knoxville.  New places may be flashy but this hospital has a great medical staff and caring nurses.  It also has great technology that is leading edge.  I wouldn't want to go anywhere else.",good,08/29/2014 14:36:19,0,patient many many time always good experience think best knoxville new place may flashy great staff caring nurse also great technology leading edge wouldnt want go anywhere else
